,ACC,ADANIPORTS,AMBUJACEM
2008-01-18,701.03,177.35,108.4387
2008-01-21,596.53,147.11,104.3799
2008-01-22,582.0,131.15,95.4424
2008-01-23,607.54,152.81,96.5084
2008-01-24,610.37,145.17,95.0325
2008-01-25,633.44,154.36,96.1394
2008-01-28,646.19,146.36,94.5405
2008-01-29,641.94,149.91,96.1394
2008-01-30,646.88,148.08,97.5743
2008-01-31,621.78,149.36,99.0092
2008-02-01,611.91,147.17,97.4103
2008-02-04,621.09,152.65,101.6741
2008-02-05,622.27,148.76,100.7721
2008-02-06,619.19,143.98,98.4353
2008-02-07,625.47,141.98,96.6314
2008-02-08,631.38,139.8,95.7294
2008-02-11,597.38,126.81,94.4175
2008-02-12,581.63,121.48,92.6956
2008-02-13,598.55,119.64,95.5244
2008-02-14,609.72,126.56,96.3101
2008-02-15,614.38,129.94,95.8966
2008-02-18,612.51,137.58,95.4831
2008-02-19,639.43,136.21,95.93799999999999
2008-02-20,621.3,130.54,95.9793
2008-02-21,632.14,131.52,99.1635
2008-02-22,626.68,129.1,97.6334
2008-02-25,662.54,126.18,101.4792
2008-02-26,672.9,131.2,101.7273
2008-02-27,661.89,133.09,101.5206
2008-02-28,654.61,131.55,100.2386
2008-02-29,644.33,131.17,100.0319
2008-03-03,638.5,124.68,98.5018
2008-03-04,604.46,119.33,99.1635
2008-03-05,600.05,114.28,100.1146
2008-03-06,,,100.5281
2008-03-07,594.87,108.72,98.0056
2008-03-10,621.34,107.19,100.0319
2008-03-11,658.33,111.21,103.6709
2008-03-12,653.52,107.5,102.389
2008-03-13,630.69,100.98,99.8665
2008-03-14,646.72,100.03,99.2048
2008-03-17,623.64,91.2,97.6334
2008-03-18,614.94,89.58,98.5018
2008-03-19,629.19,88.75,100.9003
2008-03-20,,,101.4379
2008-03-21,,,101.4379
2008-03-24,651.37,83.66,102.9265
2008-03-25,661.69,88.65,102.9265
2008-03-26,661.73,89.88,101.3552
2008-03-27,666.35,92.01,101.6033
2008-03-28,678.81,110.41,102.3063
2008-03-31,668.78,103.2,100.1146
2008-04-01,667.6,105.59,99.70100000000001
2008-04-02,679.02,108.47,99.6183
2008-04-03,669.38,107.39,100.5694
2008-04-04,672.58,105.77,98.5432
2008-04-07,674.0,105.81,97.6334
2008-04-08,668.13,105.14,97.6334
2008-04-09,663.92,106.58,99.3289
2008-04-10,667.11,108.52,100.8589
